workload,binding_pair,source_id,op_identity,launches_256,launches_512,sched_joined_256,sched_joined_512
yolo-fastest_192_face_v4,B-frozen,9,Add|96x96x4|1x1|8,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,10,Conv2D|96x96x24|1x1|9,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,12,DepthwiseConv2D|48x48x24|1x1|11,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,13,Conv2D|48x48x8|1x1|12,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,14,Conv2D|48x48x32|1x1|13,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,15,DepthwiseConv2D|48x48x32|1x1|14,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,16,Conv2D|48x48x8|1x1|15,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,17,Add|48x48x8|1x1|16,1,1,0,0
yolo-fastest_192_face_v4,B-frozen,18,Conv2D|48x48x32|1x1|17,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,19,DepthwiseConv2D|48x48x32|1x1|18,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,20,Conv2D|48x48x8|1x1|19,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,21,Add|48x48x8|1x1|20,1,1,0,0
yolo-fastest_192_face_v4,B-frozen,22,Conv2D|48x48x32|1x1|21,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,24,DepthwiseConv2D|24x24x32|1x1|23,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,25,Conv2D|24x24x8|1x1|24,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,26,Conv2D|24x24x48|1x1|25,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,27,DepthwiseConv2D|24x24x48|1x1|26,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,28,Conv2D|24x24x8|1x1|27,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,29,Add|24x24x8|1x1|28,1,1,0,0
yolo-fastest_192_face_v4,B-frozen,30,Conv2D|24x24x48|1x1|29,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,31,DepthwiseConv2D|24x24x48|1x1|30,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,32,Conv2D|24x24x8|1x1|31,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,33,Add|24x24x8|1x1|32,1,1,0,0
yolo-fastest_192_face_v4,B-frozen,34,Conv2D|24x24x48|1x1|33,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,35,DepthwiseConv2D|24x24x48|1x1|34,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,36,Conv2D|24x24x16|1x1|35,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,37,Conv2D|24x24x96|1x1|36,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,38,DepthwiseConv2D|24x24x96|1x1|37,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,39,Conv2D|24x24x16|1x1|38,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,40,Add|24x24x16|1x1|39,1,1,0,0
yolo-fastest_192_face_v4,B-frozen,41,Conv2D|24x24x96|1x1|40,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,42,DepthwiseConv2D|24x24x96|1x1|41,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,43,Conv2D|24x24x16|1x1|42,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,44,Add|24x24x16|1x1|43,1,1,0,0
yolo-fastest_192_face_v4,B-frozen,45,Conv2D|24x24x96|1x1|44,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,46,DepthwiseConv2D|24x24x96|1x1|45,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,47,Conv2D|24x24x16|1x1|46,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,48,Add|24x24x16|1x1|47,1,1,0,0
yolo-fastest_192_face_v4,B-frozen,49,Conv2D|24x24x96|1x1|48,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,50,DepthwiseConv2D|24x24x96|1x1|49,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,51,Conv2D|24x24x16|1x1|50,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,52,Add|24x24x16|1x1|51,1,1,0,0
yolo-fastest_192_face_v4,B-frozen,53,Conv2D|24x24x96|1x1|52,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,55,DepthwiseConv2D|12x12x96|1x1|54,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,56,Conv2D|12x12x24|1x1|55,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,57,Conv2D|12x12x136|1x1|56,2,1,1,1
yolo-fastest_192_face_v4,B-frozen,58,DepthwiseConv2D|12x12x136|1x1|57,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,59,Conv2D|12x12x24|1x1|58,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,60,Add|12x12x24|1x1|59,1,1,0,0
yolo-fastest_192_face_v4,B-frozen,61,Conv2D|12x12x136|1x1|60,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,62,DepthwiseConv2D|12x12x136|1x1|61,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,63,Conv2D|12x12x24|1x1|62,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,64,Add|12x12x24|1x1|63,1,1,0,0
yolo-fastest_192_face_v4,B-frozen,65,Conv2D|12x12x136|1x1|64,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,66,DepthwiseConv2D|12x12x136|1x1|65,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,67,Conv2D|12x12x24|1x1|66,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,68,Add|12x12x24|1x1|67,1,1,0,0
yolo-fastest_192_face_v4,B-frozen,69,Conv2D|12x12x136|1x1|68,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,70,DepthwiseConv2D|12x12x136|1x1|69,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,71,Conv2D|12x12x24|1x1|70,1,1,1,1
yolo-fastest_192_face_v4,B-frozen,72,Add|12x12x24|1x1|71,1,1,0,0
yolo-fastest_192_face_v4,B-frozen,73,Conv2D|12x12x136|1x1|72,2,1,1,1
